Player,First Serve %,num_matches
John Isner,0.7098929811004623,48
Dusan Lajovic,0.684829275254816,48
Pablo Carreno Busta,0.6741352050088184,52
Alexander Zverev,0.6704786037207443,69
Jordan Thompson,0.6683699168778842,48
Nick Kyrgios,0.6668882746690044,38
Guido Pella,0.6640298765389531,62
Yoshihito Nishioka,0.6620748344720906,40
Novak Djokovic,0.6614334088993404,69
Roberto Bautista Agut,0.6595745263531924,65
Cameron Norrie,0.6595318384885812,46
Frances Tiafoe,0.6591196756298352,50
Dominic Thiem,0.6581985841580591,69
Felix Auger Aliassime,0.6566097979547502,57
Filip Krajinovic,0.6545528205329467,49
Casper Ruud,0.6536116788215571,42
Gael Monfils,0.6531976005548286,58
Mikhail Kukushkin,0.651632185276363,48
Pablo Andujar,0.6497328367374153,33
Rafael Nadal,0.6490699402032908,69
Roger Federer,0.6466634078073805,66
Diego Schwartzman,0.6466578103876598,66
Reilly Opelka,0.6445138781743063,50
Taro Daniel,0.6430686421647279,31
Stefanos Tsitsipas,0.6421893297424095,80
Hubert Hurkacz,0.6410687149146207,49
Fernando Verdasco,0.63848011076271,53
Kei Nishikori,0.6359590975180383,43
Marco Cecchinato,0.6356097418880806,39
Albert Ramos,0.6343589300584465,54
Daniel Evans,0.6341907415914485,40
Radu Albot,0.630064202864081,57
Milos Raonic,0.6293551307739454,38
Borna Coric,0.6282639490728167,50
Kyle Edmund,0.6272175370917392,39
Nicolas Jarry,0.6268562317830229,40
Karen Khachanov,0.6261518045363816,59
Jeremy Chardy,0.6258469725170801,55
Lorenzo Sonego,0.6255530461308718,43
Jaume Munar,0.6250208529001698,39
Grigor Dimitrov,0.6225211734889707,44
Damir Dzumhur,0.6214474357445957,35
Philipp Kohlschreiber,0.621377346368203,43
Gilles Simon,0.6212605501853546,55
Roberto Carballes Baena,0.6208794204971193,39
Sam Querrey,0.6208292438354209,41
Matteo Berrettini,0.6207181431211236,68
Miomir Kecmanovic,0.6200337442997395,46
Alex De Minaur,0.6181228965139465,62
Federico Delbonis,0.6178385272003315,34
Joao Sousa,0.6156404920855502,57
Jo-Wilfried Tsonga,0.610988303568152,52
Richard Gasquet,0.6103258654384458,35
John Millman,0.6091389196255701,49
Juan Ignacio Londero,0.6086511557768047,43
Fabio Fognini,0.6077645210922045,55
Laslo Djere,0.6075518833291484,43
Alexei Popyrin,0.6074514699661964,31
Cristian Garin,0.605697879463153,56
Pierre Hugues Herbert,0.6049848715036077,46
Tennys Sandgren,0.6029711058292158,30
Ugo Humbert,0.6004057487107883,40
Denis Shapovalov,0.5983825825455322,67
Adrian Mannarino,0.5977920230106294,53
Daniil Medvedev,0.5974425691203408,80
Andrey Rublev,0.5905516333861907,57
Martin Klizan,0.5895719238939529,30
Pablo Cuevas,0.5894912592097098,47
David Goffin,0.5890717943548414,64
Alexander Bublik,0.5877300196310415,30
Steve Johnson,0.5869502652211475,35
Stan Wawrinka,0.5851088328737363,53
Lucas Pouille,0.5841689048212884,42
Marin Cilic,0.5831399164354141,42
Leonardo Mayer,0.5827589119494803,34
Taylor Fritz,0.5802572447738298,62
Marton Fucsovics,0.5797177372303911,49
Nikoloz Basilashvili,0.5785591219171662,52
Andreas Seppi,0.5784291138423179,43
Aljaz Bedene,0.5713192201010878,38
Denis Kudla,0.5703513488025365,33
Robin Haase,0.5656336578449068,33
Jan Lennard Struff,0.5578638455268016,64
Peter Gojowczyk,0.5400618941655504,31
Benoit Paire,0.5189944515828087,63
