Winner,Hard
Djokovic N.,6
Nadal R.,5
Del Potro J.M.,5
Karlovic I.,4
Federer R.,4
Devvarman S.,3
Wawrinka S.,3
Harrison R.,3
Robredo T.,3
Gasquet R.,3
Malisse X.,2
Kohlschreiber P.,2
Querrey S.,2
Raonic M.,2
Roddick A.,2
Montanes A.,2
Young D.,2
Troicki V.,2
Sweeting R.,2
Berdych T.,2
Melzer J.,1
Tomic B.,1
Verdasco F.,1
Nieminen J.,1
Petzschner P.,1
Tipsarevic J.,1
Schuettler R.,1
Soderling R.,1
Smyczek T.,1
Russell M.,1
Simon G.,1
Serra F.,1
Almagro N.,1
Kubot L.,1
Mello R.,1
Lu Y.H.,1
Becker B.,1
Bellucci T.,1
Benneteau J.,1
Berankis R.,1
Berrer M.,1
Blake J.,1
Chela J.I.,1
Cilic M.,1
Cuevas P.,1
Davydenko N.,1
De Voest R.,1
Dolgopolov O.,1
Giraldo S.,1
Golubev A.,1
Gulbis E.,1
Hanescu V.,1
Isner J.,1
Andreev I.,1
Llodra M.,1
Zverev M.,1
