Winner,Hard
Azarenka V.,7
Sharapova M.,6
Kvitova P.,5
Clijsters K.,5
Wozniacki C.,4
Errani S.,4
Radwanska A.,4
Makarova E.,4
Jankovic J.,3
Goerges J.,3
Li N.,3
Lisicki S.,3
Ivanovic A.,3
Williams S.,3
Benesova I.,3
Zheng J.,3
Mchale C.,2
Niculescu M.,2
Oprandi R.,2
Voskoboeva G.,2
Kuznetsova S.,2
Kirilenko M.,2
King V.,2
Kerber A.,2
Medina Garrigues A.,2
Arn G.,2
Zvonareva V.,2
Cirstea S.,2
Hantuchova D.,2
Barthel M.,2
Bartoli M.,2
Bratchikova N.,2
Radwanska U.,1
Rogowska O.,1
Schiavone F.,1
Cetkovska P.,1
Stephens S.,1
Suarez Navarro C.,1
Tsurenko L.,1
Tatishvili A.,1
Pironkova T.,1
Vinci R.,1
Brianti A.,1
Wozniak A.,1
Zahlavova Strycova B.,1
Chang K.C.,1
Kanepi K.,1
Hradecka L.,1
Dokic J.,1
Hampton J.,1
Krajicek M.,1
Govortsova O.,1
Foretz S.,1
Erakovic M.,1
Dubois S.,1
Dellacqua C.,1
Peng S.,1
Daniilidou E.,1
Cibulkova D.,1
Ormaechea P.,1
Parmentier P.,1
Pavlyuchenkova A.,1
Peer S.,1
Petrova N.,1
