Winner,Hard
Cilic M.,7
Nishikori K.,6
Federer R.,5
Djokovic N.,5
Wawrinka S.,4
Monfils G.,4
Berdych T.,4
Murray A.,4
Kohlschreiber P.,3
Dimitrov G.,3
Raonic M.,3
Robredo T.,3
Simon G.,3
Thiem D.,3
Bautista R.,3
Tsonga J.W.,3
Querrey S.,2
Granollers M.,2
Mayer L.,2
Mannarino A.,2
Lopez F.,2
Kyrgios N.,2
Kuznetsov An.,2
Isner J.,2
Anderson K.,2
Ferrer D.,2
Goffin D.,2
Carreno-Busta P.,2
Estrella Burgos V.,2
Gabashvili T.,2
Gasquet R.,2
Kavcic B.,2
Andujar P.,1
Klizan M.,1
Verdasco F.,1
Bachinger M.,1
Tomic B.,1
Bellucci T.,1
Struff J.L.,1
Sousa J.,1
Smyczek T.,1
Bolelli S.,1
Seppi A.,1
Sela D.,1
Gulbis E.,1
Chardy J.,1
Coric B.,1
Paire B.,1
Delbonis F.,1
Nedovyesov A.,1
Ebden M.,1
Gojowczyk P.,1
Groth S.,1
Mathieu P.H.,1
Marchenko I.,1
Fognini F.,1
Lorenzi P.,1
Ito T.,1
Llodra M.,1
Garcia-Lopez G.,1
Janowicz J.,1
Kudryavtsev A.,1
Karlovic I.,1
Gonzalez A.,1
