Winner,Hard
Djokovic N.,7
Murray A.,6
Federer R.,5
Raonic M.,5
Ferrer D.,4
Monfils G.,4
Berdych T.,4
Nishikori K.,4
Isner J.,3
Goffin D.,3
Wawrinka S.,3
Tomic B.,3
Kuznetsov An.,3
Tsonga J.W.,3
Bautista R.,3
Simon G.,3
Millman J.,2
Lopez F.,2
Rosol L.,2
Robert S.,2
Sela D.,2
Seppi A.,2
Sousa J.,2
Thiem D.,2
Troicki V.,2
Johnson S.,2
Kyrgios N.,2
Cilic M.,2
Dimitrov G.,2
Herbert P.H.,2
Delbonis F.,2
Garcia-Lopez G.,2
Jasika O.,1
Rubin N.,1
Cuevas P.,1
Smyczek T.,1
Sock J.,1
Stepanek R.,1
Robredo T.,1
Chardy J.,1
Brands D.,1
Bolelli S.,1
Trungelliti M.,1
Bellucci T.,1
Verdasco F.,1
Dolgopolov O.,1
Dzumhur D.,1
Donskoy E.,1
Groth S.,1
Krajicek A.,1
Kudla D.,1
Basic M.,1
Lajovic D.,1
Halys Q.,1
Mahut N.,1
Granollers M.,1
Hewitt L.,1
Muller G.,1
Giraldo S.,1
Olivo R.,1
Pella G.,1
Ram R.,1
Ramos-Vinolas A.,1
Almagro N.,1
