Winner,Clay
Nadal R.,7
Ruud C.,6
Zverev A.,5
Cilic M.,5
Rune H.,4
Rublev A.,4
Djokovic N.,4
Alcaraz C.,4
Schwartzman D.,3
Zapata Miralles B.,3
Auger-Aliassime F.,3
Khachanov K.,3
Tsitsipas S.,3
Sinner J.,3
Hurkacz H.,3
Medvedev D.,3
Bedene A.,2
Korda S.,2
Mcdonald M.,2
Krajinovic F.,2
Nakashima B.,2
Norrie C.,2
Simon G.,2
Sonego L.,2
Van De Zandschulp B.,2
Ymer M.,2
Isner J.,2
Kecmanovic M.,2
Garin C.,2
Goffin D.,2
Gaston H.,2
Dimitrov G.,2
Griekspoor T.,1
Baez S.,1
Ruusuvuori E.,1
Bublik A.,1
Djere L.,1
Dellien H.,1
Tiafoe F.,1
Sousa J.,1
Basilashvili N.,1
Delbonis F.,1
Ugo Carabelli C.,1
Cuevas P.,1
Coric B.,1
Cachin P.,1
Barrere G.,1
Evans D.,1
Ramos-Vinolas A.,1
Gojo B.,1
Fognini F.,1
Fritz T.,1
Munar J.,1
Moutet C.,1
Molcan A.,1
Fucsovics M.,1
Laaksonen H.,1
Kubler J.,1
Cecchinato M.,1
Gasquet R.,1
Kolar Z.,1
Johnson S.,1
Ivashka I.,1
Carballes Baena R.,1
