Winner,Hard
Sabalenka A.,7
Pegula J.,6
Navarro E.,5
Muchova K.,5
Haddad Maia B.,4
Swiatek I.,4
Zheng Q.,4
Badosa P.,4
Paolini J.,3
Shnaider D.,3
Gauff C.,3
Samsonova L.,3
Vekic D.,3
Wang Y.,3
Wozniacki C.,3
Mertens E.,3
Svitolina E.,2
Stearns P.,2
Krueger A.,2
Azarenka V.,2
Ruse E.G.,2
Putintseva Y.,2
Potapova A.,2
Ponchet J.,2
Pavlyuchenkova A.,2
Niemeier J.,2
Bouzas Maneiro J.,2
Alexandrova E.,2
Kostyuk M.,2
Errani S.,2
Kalinskaya A.,2
Keys M.,2
Wang Xin.,1
Burel C.,1
Cocciaretto E.,1
Uchijima M.,1
Townsend T.,1
Boulter K.,1
Tomljanovic A.,1
Tauson C.,1
Andreeva M.,1
Bronzetti L.,1
Dart H.,1
Dolehide C.,1
Sorribes Tormo S.,1
Zarazua R.,1
Shibahara E.,1
Lepchenko V.,1
Joint M.,1
Maria T.,1
Jovic I.,1
Rus A.,1
Kalinina A.,1
Kasatkina D.,1
Pliskova Ka.,1
Kenin S.,1
Parry D.,1
Bouzkova M.,1
Osaka N.,1
Andreeva E.,1
Bondar A.,1
Minnen G.,1
Krejcikova B.,1
Rybakina E.,1
