Winner,Hard
Azarenka V.,6
Williams S.,5
Williams V.,4
Stosur S.,4
Li N.,4
Kuznetsova S.,4
Wozniacki C.,3
Benesova I.,3
Makarova E.,3
Kleybanova A.,2
Zheng J.,2
Yakimova A.,2
Vaidisova N.,2
Szavay A.,2
Radwanska A.,2
Mauresmo A.,2
Medina Garrigues A.,2
Groenefeld A.L.,2
Dementieva E.,2
Dulko G.,2
Kirilenko M.,1
Santangelo M.,1
Schiavone F.,1
Schnyder P.,1
Sprem K.,1
Glatch A.,1
Suarez Navarro C.,1
Garbin T.,1
Tanasugarn T.,1
Safarova L.,1
Voskoboeva G.,1
Dokic J.,1
Cornet A.,1
Cibulkova D.,1
Zahlavova Strycova B.,1
Chakvetadze A.,1
Safina D.,1
Rybarikova M.,1
Koryttseva M.,1
Martinez-Sanchez M.J.,1
Krajicek M.,1
Kudryavtseva A.,1
Kanepi K.,1
Johansson M.,1
Lisicki S.,1
Llagostera Vives N.,1
Ivanovic A.,1
Hantuchova D.,1
Goerges J.,1
Paszek T.,1
Pavlyuchenkova A.,1
Peer S.,1
Peng S.,1
Pennetta F.,1
Petrova N.,1
Pivovarova A.,1
Zvonareva V.,1
