Winner,Clay
Ferrer D.,29
Ferrero J.C.,28
Almagro N.,25
Montanes A.,23
Verdasco F.,22
Nadal R.,22
Chela J.I.,21
Bellucci T.,19
Starace P.,17
Melzer J.,17
Wawrinka S.,16
Gasquet R.,16
Seppi A.,14
Monaco J.,14
Soderling R.,14
Hanescu V.,13
Garcia-Lopez G.,12
Cuevas P.,12
Youzhny M.,12
Gimeno-Traver D.,11
Granollers M.,11
Gulbis E.,11
Andreev I.,11
Berdych T.,10
Federer R.,10
Djokovic N.,10
Schwank E.,10
Cilic M.,9
Kohlschreiber P.,9
Golubev A.,9
Monfils G.,8
Tsonga J.W.,8
Chardy J.,8
Gonzalez F.,8
Zeballos H.,8
Baghdatis M.,8
Isner J.,8
Serra F.,8
Kubot L.,8
Fognini F.,8
Andujar P.,7
Greul S.,7
Lopez F.,7
Gil F.,7
Querrey S.,7
De Bakker T.,7
Petzschner P.,6
Mayer F.,6
Ljubicic I.,6
Troicki V.,6
Mayer L.,6
Dolgopolov O.,6
Murray A.,6
Hajek J.,6
Riba P.,6
Chiudinelli M.,6
Phau B.,5
Martin A.,5
Istomin D.,5
Robredo T.,5
Hewitt L.,5
Nalbandian D.,5
Nieminen J.,5
Bolelli S.,5
Giraldo S.,4
Reister J.,4
Rochus O.,4
Schukin Y.,4
Mello R.,4
Massu N.,3
Krajinovic F.,3
Malisse X.,3
Odesnik W.,3
Machado R.,3
Ginepri R.,3
Souza J.,3
Volandri F.,3
Beck A.,3
Becker B.,3
Benneteau J.,3
Ventura S.,3
Berlocq C.,3
Stakhovsky S.,3
Clement A.,3
Skugor F.,3
Robert S.,3
Gabashvili T.,3
Roddick A.,2
Falla A.,2
Luczak P.,2
Ramos-Vinolas A.,2
Fish M.,2
Hernandez O.,2
Ouanna J.,2
El Amrani R.,2
Gonzalez M.,2
Berrer M.,2
Kavcic B.,2
Karlovic I.,2
Kamke T.,2
Davydenko N.,2
Anderson K.,2
Llodra M.,2
Ramirez-Hidalgo R.,1
Vinciguerra A.,1
Zemlja G.,1
Mahut N.,1
Marrero D.,1
Sweeting R.,1
Vagnozzi S.,1
Ungur A.,1
Tavares L.,1
Moya C.,1
Munoz-De La Nava D.,1
Simon G.,1
Navarro-Pastor I.,1
Sela D.,1
Sadecky A.,1
Nishikori K.,1
Roger-Vasselin E.,1
Acasuso J.,1
Zverev M.,1
Di Mauro A.,1
Koellerer D.,1
Korolev E.,1
Daniel M.,1
Crivoi V.,1
Eleskovic E.,1
Kukushkin M.,1
Devvarman S.,1
Darcis S.,1
Lacko L.,1
Ball C.,1
Capdeville P.,1
Lammer M.,1
Dodig I.,1
Lorenzi P.,1
Brands D.,1
Haider-Maurer A.,1
Dent T.,1
Klizan M.,1
Sorensen L.,0
Soeda G.,0
Sijsling I.,0
Dabul B.,0
Smyczek T.,0
Dancevic F.,0
Statham J.,0
Sidorenko A.,0
Sergeyev I.,0
Del Potro J.M.,0
Delgado R.,0
Bubka S.,0
Lu Y.H.,0
Stepanek R.,0
Bemelmans R.,0
Alves T.,0
Ancic M.,0
Bachinger M.,0
Young D.,0
Bai Y.,0
Ward J.,0
Vliegen K.,0
Beck K.,0
Berankis R.,0
Brown D.,0
Veic A.,0
Van Der Merwe I.,0
Bhambri Y.,0
Blake J.,0
Tursunov D.,0
Bloomfield R.,0
Bozoljac I.,0
Tipsarevic J.,0
Tomic B.,0
Dimitrov G.,0
Schuettler R.,0
Kudla D.,0
Kiefer N.,0
Kim K.,0
Klaasen R.,0
Muller G.,0
Kontinen H.,0
Koubek S.,0
Kravchuk K.,0
Mertens Y.,0
Meffert D.,0
Ryderstedt M.,0
Kuznetsov A.,0
Matosevic M.,0
Mathieu P.H.,0
Lapentti N.,0
Levine J.,0
Marchenko I.,0
Mannarino A.,0
Levy H.,0
Jelenic P.,0
Ilhan M.,0
Harrison R.,0
Paire B.,0
Russell M.,0
Rufin G.,0
Donskoy E.,0
Ebden M.,0
El Aynaoui Y.,0
Evans B.,0
Recouderc L.,0
Raonic M.,0
Fischer M.,0
Gicquel M.,0
Ram R.,0
Grosjean S.,0
Przysiezny M.,0
Prpic F.,0
Polansky P.,0
Haas T.,0
Haase R.,0
Kunitsyn I.,0
