Winner,Hard
Djokovic N.,49
Del Potro J.M.,43
Gasquet R.,37
Nadal R.,37
Ferrer D.,37
Berdych T.,36
Raonic M.,33
Haas T.,28
Federer R.,28
Isner J.,26
Murray A.,26
Istomin D.,25
Nishikori K.,24
Tursunov D.,24
Simon G.,23
Tsonga J.W.,22
Anderson K.,22
Dimitrov G.,22
Benneteau J.,21
Gulbis E.,21
Wawrinka S.,21
Querrey S.,21
Nieminen J.,21
Youzhny M.,20
Dodig I.,20
Melzer J.,19
Davydenko N.,17
Almagro N.,17
Paire B.,16
Monfils G.,16
Seppi A.,16
Lopez F.,15
Bautista R.,15
Tomic B.,15
Kohlschreiber P.,15
Baghdatis M.,14
Roger-Vasselin E.,14
Rosol L.,14
Cilic M.,14
Tipsarevic J.,14
Matosevic M.,14
Dolgopolov O.,13
Mayer F.,13
Hewitt L.,13
Lu Y.H.,13
Granollers M.,13
Fognini F.,12
Sousa J.,12
Pospisil V.,12
Haase R.,12
Brands D.,11
Janowicz J.,11
Lacko L.,11
Berlocq C.,10
Devvarman S.,10
Chardy J.,10
Kamke T.,10
Robredo T.,9
Verdasco F.,9
Harrison R.,9
Stepanek R.,9
Malisse X.,9
Donskoy E.,9
Berankis R.,8
Karlovic I.,8
Blake J.,8
Sijsling I.,8
Falla A.,8
Goffin D.,8
Llodra M.,8
Sock J.,7
Kukushkin M.,6
Smyczek T.,6
Przysiezny M.,6
Becker B.,6
Garcia-Lopez G.,6
Andujar P.,6
Levine J.,5
Kubot L.,5
Stakhovsky S.,5
Soeda G.,5
Bogomolov A.,5
Mahut N.,5
Giraldo S.,5
Klizan M.,4
Lorenzi P.,4
Zemlja G.,4
Kavcic B.,4
Johnson S.,4
Mannarino A.,4
Bedene A.,4
Gimeno-Traver D.,4
Hanescu V.,4
Fish M.,4
Ramos A.,4
Sela D.,4
Russell M.,4
Rufin G.,4
Petzschner P.,3
Troicki V.,3
Mathieu P.H.,3
De Schepper K.,3
Bolelli S.,3
Ebden M.,3
Mayer L.,3
Baker B.,3
Golubev A.,3
Khachanov K.,3
Zeballos H.,3
Bellucci T.,3
Muller G.,2
Ram R.,2
Thiem D.,2
Phau B.,2
Viola M.,2
Williams R.,2
Munoz-De La Nava D.,2
Young D.,2
Rochus O.,2
Millman J.,2
Monaco J.,2
Pella G.,2
Zverev M.,2
Delbonis F.,2
Bachinger M.,2
Hajek J.,2
Bemelmans R.,2
Gabashvili T.,2
Carreno-Busta P.,2
Evans D.,2
Dancevic F.,2
Duckworth J.,2
Ito T.,2
De Bakker T.,2
Mecir M.,1
Gonzalez M.,1
Gojowczyk P.,1
Fucsovics M.,1
Dutra Silva R.,1
Struff J.L.,1
Stebe C-M.,1
Reynolds B.,1
Darcis S.,1
Cuevas P.,1
Cipolla F.,1
Brugues-Davi A.,1
Weintraub A.,1
Basic M.,1
Amritraj P.,1
Zopp J.,1
Robert S.,1
Safwat M.,1
Klahn B.,1
Peliwo F.,1
Pospisil J.,1
Johansson J.,1
Kravchuk K.,1
Odesnik W.,1
Herbert P.H.,1
Harrison C.,1
Kudla D.,1
Groth S.,1
Kuznetsov Al.,1
Kuznetsov An.,1
Haider-Maurer A.,1
Jones G.,1
Olivetti A.,1
Nalbandian D.,1
Alund M.,0
Trungelliti M.,0
Copil M.,0
Reister J.,0
Capdeville P.,0
Wang J.,0
Brown D.,0
Berrer M.,0
Montanes A.,0
Kyrgios N.,0
Laaksonen H.,0
Volandri F.,0
Stebe C.M.,0
Olaso G.,0
Sugita Y.,0
Guccione C.,0
Ramirez-Hidalgo R.,0
Gomez E.,0
Ginepri R.,0
Ghem A.,0
Garin C.,0
Langer N.,0
Schwartzman D.,0
Pouille L.,0
Estrella Burgos V.,0
Elias G.,0
Edmund K.,0
Hernych J.,0
Souza J.,0
Starace P.,0
Korolev E.,0
