,player,pts_won,net_pts,net_efficiency
0,Ivo Karlovic,436,592,73.64864864864865
1,Milos Raonic,343,466,73.60515021459227
2,Hubert Hurkacz,338,460,73.47826086956522
3,Roger Federer,779,1088,71.59926470588235
4,Robin Haase,268,377,71.08753315649867
5,Novak Djokovic,294,418,70.33492822966507
6,Stefanos Tsitsipas,536,769,69.70091027308193
7,Denis Shapovalov,225,327,68.80733944954129
8,Dominic Thiem,223,327,68.19571865443424
9,Dustin Brown,280,414,67.6328502415459
10,Alexander Bublik,210,376,55.85106382978723
