Winner,Hard
Alcaraz C.,6
Ruud C.,5
Cerundolo F.,5
Kecmanovic M.,4
Hurkacz H.,4
Harris L.,3
Sinner J.,3
Medvedev D.,3
Kyrgios N.,3
Kokkinakis T.,3
Zverev A.,3
Brooksby J.,3
Martinez P.,2
Korda S.,2
Tsitsipas S.,2
Tiafoe F.,2
Paul T.,2
Norrie C.,2
Nishioka Y.,2
Mcdonald M.,2
Cerundolo J.M.,2
Kudla D.,2
Fritz T.,2
Gaston H.,2
Coric B.,1
Cilic M.,1
Wolf J.J.,1
Fucsovics M.,1
Thompson J.,1
Galan D.E.,1
Ruusuvuori E.,1
Bublik A.,1
Rinderknech A.,1
Popyrin A.,1
Otte O.,1
Goffin D.,1
De Minaur A.,1
Nakashima B.,1
Murray A.,1
Monfils G.,1
Carreno Busta P.,1
Humbert U.,1
Fognini F.,1
Majchrzak K.,1
Laaksonen H.,1
Daniel T.,1
Kukushkin M.,1
Bautista Agut R.,1
Karatsev A.,1
Draper J.,1
